               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044138,            0.024606,            0.047238,            0.097016,             0.28484,             0.11951,             0.06254,            0.041932,            0.055746,            0.084375,            0.070179,           0.0033135,           0.0033135
                   1,            0.036466,            0.021279,            0.030962,          0.00071507,             0.19214,          0.00054052,          0.00013228,            0.088281,            0.076492,            0.062631,            0.040165,           0.0066337,           0.0066337
                   2,            0.034056,            0.020807,            0.024189,             0.18376,             0.24157,             0.18157,            0.084641,            0.041958,            0.073696,            0.046555,            0.010139,           0.0099406,           0.0099406
                   3,            0.030506,            0.019322,            0.020405,             0.64694,              0.5136,             0.53936,             0.26753,            0.033982,            0.023607,            0.042886,           0.0099406,           0.0099406,           0.0099406
                   4,              0.0273,            0.018111,            0.017306,             0.65182,             0.73043,             0.77484,             0.52146,            0.023988,            0.015577,            0.023839,           0.0099406,           0.0099406,           0.0099406
                   5,            0.026098,            0.017218,            0.015735,             0.71674,             0.59607,             0.72324,             0.45849,            0.024827,            0.014839,            0.050455,           0.0099208,           0.0099208,           0.0099208
                   6,             0.02442,            0.016405,            0.014545,             0.73522,             0.74526,             0.82512,             0.60266,            0.020042,            0.011688,            0.014015,            0.009901,            0.009901,            0.009901
                   7,            0.023348,            0.015877,            0.012818,             0.75356,             0.81965,             0.84384,             0.61176,            0.020871,            0.011891,            0.012663,           0.0098812,           0.0098812,           0.0098812
                   8,            0.022454,            0.015537,              0.0115,             0.59505,             0.66926,             0.71473,             0.53142,            0.019796,             0.01242,            0.032239,           0.0098614,           0.0098614,           0.0098614
                   9,            0.022012,            0.015234,            0.011448,             0.75576,             0.82861,             0.85374,             0.62832,            0.019458,            0.011489,            0.012755,           0.0098416,           0.0098416,           0.0098416
                  10,            0.021151,            0.015169,            0.011165,             0.74376,              0.8409,              0.8362,              0.6362,            0.019052,             0.01156,            0.010308,           0.0098218,           0.0098218,           0.0098218
                  11,            0.020364,            0.014945,            0.010238,             0.75302,             0.75279,             0.85066,             0.65504,            0.017481,             0.01046,            0.022155,            0.009802,            0.009802,            0.009802
                  12,            0.020098,            0.014519,           0.0099949,             0.82194,             0.77392,             0.81345,             0.64113,              0.0183,            0.010918,            0.012421,           0.0097822,           0.0097822,           0.0097822
                  13,             0.01967,            0.014311,            0.010135,             0.73513,             0.74412,             0.78809,             0.60184,            0.018485,             0.01168,            0.020174,           0.0097624,           0.0097624,           0.0097624
                  14,             0.01874,            0.014177,           0.0094857,             0.73271,             0.82147,             0.85536,             0.67144,            0.016806,            0.010664,            0.013315,           0.0097426,           0.0097426,           0.0097426
                  15,            0.019054,            0.013893,           0.0097417,             0.69447,             0.77768,             0.80125,             0.63923,            0.017181,            0.011029,             0.02295,           0.0097228,           0.0097228,           0.0097228
                  16,             0.01887,            0.013765,           0.0091486,             0.78505,             0.78352,             0.85101,             0.65614,            0.016477,            0.010228,            0.015322,            0.009703,            0.009703,            0.009703
                  17,            0.019028,              0.0137,           0.0091153,             0.84967,             0.81388,             0.85229,             0.67665,            0.015669,            0.011907,            0.014129,           0.0096832,           0.0096832,           0.0096832
                  18,            0.017779,            0.013489,           0.0082814,             0.81661,             0.85861,             0.87894,             0.71759,            0.015374,           0.0096523,           0.0095673,           0.0096634,           0.0096634,           0.0096634
                  19,            0.017307,            0.013267,            0.008029,             0.73869,             0.87065,             0.83994,             0.67483,             0.01485,            0.009702,            0.012005,           0.0096436,           0.0096436,           0.0096436
                  20,            0.017208,            0.013058,           0.0082542,             0.82845,             0.89426,             0.87616,              0.6943,            0.015275,           0.0097125,           0.0071609,           0.0096238,           0.0096238,           0.0096238
                  21,            0.016911,            0.012938,           0.0075419,             0.82982,             0.86738,             0.87334,               0.719,            0.014145,           0.0094771,            0.011087,            0.009604,            0.009604,            0.009604
                  22,            0.016746,            0.012675,           0.0075889,             0.80162,             0.78297,             0.82426,             0.67306,            0.014145,           0.0097247,            0.015148,           0.0095842,           0.0095842,           0.0095842
                  23,            0.016526,            0.012588,           0.0073174,             0.80585,             0.87234,             0.87066,             0.70676,            0.014747,           0.0091522,            0.014181,           0.0095644,           0.0095644,           0.0095644
                  24,            0.016213,            0.012749,           0.0076399,             0.84739,             0.86793,             0.89115,             0.72365,            0.015288,            0.010123,           0.0081922,           0.0095446,           0.0095446,           0.0095446
                  25,            0.016083,            0.012323,           0.0071624,             0.79409,             0.85745,             0.89095,             0.69251,            0.016433,            0.010305,            0.012995,           0.0095248,           0.0095248,           0.0095248
                  26,            0.016472,            0.012673,           0.0078567,              0.8465,             0.85652,             0.88989,             0.72083,             0.01428,           0.0094281,            0.012562,            0.009505,            0.009505,            0.009505
                  27,            0.016019,            0.012579,           0.0070934,             0.86315,             0.85972,             0.86854,             0.70951,            0.014101,           0.0091522,           0.0096901,           0.0094852,           0.0094852,           0.0094852
                  28,            0.015698,            0.012467,            0.006309,             0.81783,             0.84562,             0.87678,             0.72082,             0.01421,           0.0093325,           0.0095401,           0.0094654,           0.0094654,           0.0094654
                  29,            0.015849,            0.012314,           0.0069703,             0.80324,              0.8283,             0.86029,             0.70327,            0.014799,           0.0094823,            0.013251,           0.0094456,           0.0094456,           0.0094456
                  30,            0.015619,            0.012145,           0.0066581,              0.8013,             0.89195,              0.8657,             0.70365,            0.013765,           0.0089143,            0.010455,           0.0094258,           0.0094258,           0.0094258
