               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063818,             0.03497,            0.043929,           0.0018165,             0.30591,           0.0040121,           0.0010499,            0.090083,              5.5626,             0.08324,             0.07075,             0.00325,             0.00325
                   1,            0.051599,             0.02913,            0.036985,          0.00076032,              0.1397,          0.00059766,          0.00012896,            0.096889,              2.2346,            0.072244,            0.040737,           0.0065703,           0.0065703
                   2,            0.048368,            0.028953,            0.033917,             0.01082,             0.22638,           0.0097286,           0.0030434,            0.064292,              1.6726,              0.1782,            0.010711,           0.0098774,           0.0098774
                   3,            0.046286,            0.026665,            0.032103,             0.23037,             0.10843,            0.036229,           0.0086388,             0.08686,            0.033635,            0.086037,           0.0099406,           0.0099406,           0.0099406
                   4,            0.040962,            0.025667,            0.031243,             0.58248,             0.25669,             0.11955,            0.040853,            0.048615,            0.063412,            0.039334,           0.0099406,           0.0099406,           0.0099406
                   5,            0.037526,            0.023703,            0.030015,             0.37398,             0.39845,            0.043884,            0.016372,            0.047158,            0.069674,            0.049661,           0.0099208,           0.0099208,           0.0099208
                   6,            0.036579,            0.023576,            0.027757,             0.41933,             0.33336,             0.15324,            0.058324,            0.044852,            0.030385,            0.044936,            0.009901,            0.009901,            0.009901
                   7,            0.034593,            0.022146,             0.02678,             0.91831,            0.050877,            0.083812,            0.027905,            0.050489,            0.053649,            0.062021,           0.0098812,           0.0098812,           0.0098812
                   8,            0.033397,            0.021835,            0.026085,              0.5952,             0.56514,             0.47909,             0.27112,            0.027304,            0.022708,            0.032816,           0.0098614,           0.0098614,           0.0098614
                   9,            0.032989,            0.022057,            0.026449,             0.57759,             0.55668,             0.43215,             0.20546,            0.030304,            0.026284,             0.03468,           0.0098416,           0.0098416,           0.0098416
                  10,             0.03228,            0.021946,            0.024993,               0.823,             0.37067,             0.48413,             0.22336,            0.032912,            0.017704,             0.02872,           0.0098218,           0.0098218,           0.0098218
                  11,            0.032705,            0.021335,             0.02324,             0.50688,             0.71755,             0.68071,             0.37603,            0.028582,            0.016747,            0.017188,            0.009802,            0.009802,            0.009802
                  12,            0.032334,            0.021715,            0.020719,             0.74763,             0.39013,             0.44839,             0.19842,            0.037465,            0.026768,            0.034872,           0.0097822,           0.0097822,           0.0097822
                  13,            0.030541,            0.020384,            0.019598,             0.71464,             0.66127,             0.73186,             0.43793,            0.025245,            0.013309,            0.017463,           0.0097624,           0.0097624,           0.0097624
                  14,            0.030002,             0.02019,            0.019724,             0.58812,             0.54287,             0.48618,             0.21487,            0.033323,            0.023004,            0.030458,           0.0097426,           0.0097426,           0.0097426
                  15,            0.030063,            0.020717,            0.019616,             0.40418,             0.55761,             0.49205,             0.26369,            0.032661,            0.032343,            0.026523,           0.0097228,           0.0097228,           0.0097228
                  16,            0.029446,             0.02063,            0.019697,             0.56282,             0.67113,             0.65345,             0.39656,            0.025661,            0.018204,            0.023828,            0.009703,            0.009703,            0.009703
                  17,            0.029378,            0.021036,            0.018933,             0.82944,             0.53833,             0.60271,             0.34621,            0.026806,            0.015163,            0.020972,           0.0096832,           0.0096832,           0.0096832
                  18,            0.029852,              0.0201,            0.018299,             0.79127,             0.51016,             0.67276,             0.39463,            0.024554,            0.019579,            0.015852,           0.0096634,           0.0096634,           0.0096634
                  19,            0.028003,            0.019844,            0.016593,             0.48695,             0.71603,             0.65718,             0.40798,            0.025988,            0.013446,            0.026759,           0.0096436,           0.0096436,           0.0096436
                  20,            0.028165,            0.019498,            0.016923,             0.72313,             0.52936,             0.64127,             0.37178,             0.02518,            0.013314,             0.03205,           0.0096238,           0.0096238,           0.0096238
                  21,            0.028114,            0.018937,            0.016925,             0.70504,             0.82895,             0.80202,             0.55084,            0.022551,            0.011934,            0.015543,            0.009604,            0.009604,            0.009604
                  22,            0.027526,            0.018884,            0.016467,             0.66639,             0.70713,              0.7277,             0.47247,            0.024393,            0.012214,            0.019187,           0.0095842,           0.0095842,           0.0095842
                  23,            0.026634,            0.018934,            0.016145,             0.58182,             0.58883,             0.63148,             0.42809,            0.023545,            0.013044,            0.024471,           0.0095644,           0.0095644,           0.0095644
                  24,            0.026966,            0.018753,            0.014576,             0.85198,             0.67838,             0.78041,             0.49678,             0.02131,            0.011309,            0.014017,           0.0095446,           0.0095446,           0.0095446
                  25,            0.025414,            0.017315,            0.014025,             0.60231,             0.69199,             0.68967,             0.43117,            0.021729,             0.02036,            0.024421,           0.0095248,           0.0095248,           0.0095248
                  26,            0.025492,            0.018392,            0.013147,             0.65185,              0.8042,             0.80376,             0.55866,            0.019363,            0.012115,            0.012998,            0.009505,            0.009505,            0.009505
                  27,            0.024611,            0.018184,            0.013236,             0.73998,             0.82427,             0.84166,             0.55325,            0.019616,            0.010883,           0.0098465,           0.0094852,           0.0094852,           0.0094852
                  28,            0.024943,            0.017838,            0.013513,             0.75646,              0.8445,             0.81731,             0.54854,            0.022065,            0.010735,           0.0093872,           0.0094654,           0.0094654,           0.0094654
                  29,            0.024917,            0.017889,            0.012683,             0.69423,             0.90514,             0.80344,             0.52606,            0.020492,            0.011576,             0.01249,           0.0094456,           0.0094456,           0.0094456
                  30,             0.02544,            0.017903,            0.013189,             0.71183,             0.70628,             0.73463,             0.50557,            0.021756,            0.018165,            0.016016,           0.0094258,           0.0094258,           0.0094258
                  31,            0.024395,            0.017805,            0.012434,             0.64835,             0.74146,             0.76791,             0.54139,            0.019934,            0.011593,            0.014048,            0.009406,            0.009406,            0.009406
                  32,            0.024254,            0.017562,            0.013254,             0.81659,             0.79907,             0.78628,             0.55082,            0.019734,            0.011308,            0.012429,           0.0093862,           0.0093862,           0.0093862
                  33,            0.024043,            0.017082,            0.012389,             0.73463,             0.77461,             0.79125,             0.55999,            0.019065,            0.011823,            0.017649,           0.0093664,           0.0093664,           0.0093664
                  34,             0.02385,            0.017202,            0.011819,             0.87187,             0.81876,              0.8897,             0.58866,            0.019271,            0.010804,            0.010992,           0.0093466,           0.0093466,           0.0093466
                  35,            0.024229,            0.017245,            0.012157,             0.82245,             0.80997,             0.84466,             0.59948,            0.019818,            0.011645,             0.01199,           0.0093268,           0.0093268,           0.0093268
                  36,            0.023943,            0.017615,            0.012962,             0.81409,             0.82865,             0.82793,             0.61685,            0.020085,            0.011556,            0.010691,            0.009307,            0.009307,            0.009307
                  37,            0.023508,            0.017216,             0.01159,             0.77694,             0.79281,             0.81554,             0.59436,            0.018392,            0.011021,            0.012394,           0.0092872,           0.0092872,           0.0092872
                  38,            0.023146,            0.016818,            0.010916,             0.73742,             0.88533,             0.82649,             0.58983,            0.019498,             0.01049,            0.011737,           0.0092674,           0.0092674,           0.0092674
                  39,            0.023085,            0.016952,            0.010928,             0.74057,             0.78381,             0.78069,             0.56827,            0.019035,            0.011267,           0.0099838,           0.0092476,           0.0092476,           0.0092476
                  40,             0.02316,            0.015948,            0.011402,             0.83143,             0.79636,             0.85373,             0.62754,            0.018117,            0.010345,            0.012146,           0.0092278,           0.0092278,           0.0092278
