               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092152,            0.041591,            0.056698,             0.30376,             0.19682,            0.022377,           0.0051383,             0.06463,             0.02542,            0.048791,               0.073,               0.003,               0.003
                   1,            0.064805,            0.036143,              0.0452,             0.64503,             0.26168,             0.12071,            0.042216,            0.053588,            0.022516,            0.043238,            0.044979,           0.0059792,           0.0059792
                   2,              0.0637,            0.029055,            0.042073,              0.6918,             0.24238,             0.18669,            0.080526,            0.043505,            0.015791,            0.040786,            0.016836,           0.0088357,           0.0088357
                   3,             0.05961,            0.024775,            0.039364,             0.82896,             0.19507,             0.16354,            0.069674,            0.048419,            0.015834,            0.036623,            0.009406,            0.009406,            0.009406
                   4,            0.049321,            0.022083,             0.03418,             0.67602,             0.35079,             0.19604,             0.10861,            0.043141,            0.015838,              0.0327,            0.009406,            0.009406,            0.009406
                   5,            0.044728,            0.019858,            0.032136,             0.59262,             0.43421,             0.28525,             0.14097,            0.037097,            0.013903,            0.038516,            0.009208,            0.009208,            0.009208
                   6,            0.040378,            0.019548,            0.029404,             0.72558,              0.3895,             0.32074,             0.16308,            0.036985,            0.011711,            0.027885,             0.00901,             0.00901,             0.00901
                   7,            0.036517,            0.018381,            0.026821,             0.88019,             0.33051,             0.43569,             0.24996,            0.029598,            0.011142,             0.02538,            0.008812,            0.008812,            0.008812
                   8,            0.035326,            0.017846,            0.024381,              0.9516,             0.36275,             0.50588,             0.33512,            0.023002,            0.010287,             0.02387,            0.008614,            0.008614,            0.008614
                   9,             0.03342,            0.017138,            0.022677,             0.95408,             0.38472,             0.53252,             0.32268,             0.02584,            0.010266,            0.021766,            0.008416,            0.008416,            0.008416
                  10,            0.032617,            0.016915,            0.020587,             0.77939,             0.50182,             0.55923,             0.37585,            0.024082,            0.010384,            0.019551,            0.008218,            0.008218,            0.008218
                  11,            0.030677,            0.016596,            0.019107,             0.82204,             0.49746,             0.57843,             0.41193,            0.026366,            0.010023,            0.018143,             0.00802,             0.00802,             0.00802
                  12,            0.029611,            0.016635,            0.017314,             0.88083,             0.52054,             0.59479,             0.43162,            0.020392,           0.0096363,            0.017202,            0.007822,            0.007822,            0.007822
                  13,            0.028488,            0.015783,            0.016826,             0.82352,             0.53453,             0.59298,             0.43884,            0.020442,           0.0097893,            0.015752,            0.007624,            0.007624,            0.007624
                  14,             0.02766,            0.016482,            0.015036,               0.782,             0.50834,             0.57904,             0.42587,            0.021347,            0.010239,            0.016003,            0.007426,            0.007426,            0.007426
                  15,             0.02748,            0.015824,            0.013236,             0.85252,             0.53783,             0.59734,             0.44935,             0.02032,           0.0096642,            0.015452,            0.007228,            0.007228,            0.007228
                  16,            0.026508,            0.015679,            0.013384,             0.79962,             0.58058,              0.6164,             0.46473,            0.018825,           0.0092896,            0.013315,             0.00703,             0.00703,             0.00703
                  17,            0.025385,            0.014567,            0.012946,             0.78383,             0.58611,             0.61395,             0.47293,            0.018933,           0.0092202,            0.013318,            0.006832,            0.006832,            0.006832
                  18,            0.025512,            0.015164,            0.011991,              0.8299,             0.59107,             0.64504,             0.49685,            0.019434,           0.0090691,             0.01414,            0.006634,            0.006634,            0.006634
                  19,             0.02473,            0.014534,            0.011293,             0.81554,             0.60581,             0.65704,              0.5005,            0.020168,           0.0090586,            0.012983,            0.006436,            0.006436,            0.006436
                  20,            0.023966,            0.015263,            0.011614,             0.86355,             0.56223,             0.61589,             0.47807,            0.018684,           0.0090203,            0.013132,            0.006238,            0.006238,            0.006238
                  21,            0.023947,            0.015098,            0.010829,             0.86463,             0.59879,             0.64938,             0.50555,            0.020126,           0.0091955,            0.012661,             0.00604,             0.00604,             0.00604
                  22,            0.022769,            0.014797,            0.010476,             0.87335,              0.6191,             0.67348,             0.53789,            0.016597,           0.0091139,            0.011513,            0.005842,            0.005842,            0.005842
                  23,            0.022661,            0.014082,           0.0097226,             0.87438,              0.6056,             0.66203,             0.47998,            0.019695,           0.0091625,            0.011437,            0.005644,            0.005644,            0.005644
                  24,            0.022154,            0.014361,           0.0082863,             0.88384,             0.62333,             0.69537,              0.5528,            0.016604,           0.0087925,            0.010753,            0.005446,            0.005446,            0.005446
