               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087686,            0.041636,            0.055054,             0.72586,            0.070928,            0.069061,            0.017283,            0.060743,            0.027928,            0.047017,             0.07075,             0.00325,             0.00325
                   1,            0.065496,            0.033173,            0.044147,              0.7804,             0.22629,              0.2049,            0.063227,            0.050805,            0.016643,            0.039388,            0.040743,           0.0065768,           0.0065768
                   2,            0.061455,            0.027027,            0.040236,             0.44631,             0.35136,             0.20191,            0.083808,             0.05383,            0.014123,            0.034378,             0.01073,            0.009897,            0.009897
                   3,             0.05515,            0.023026,            0.036247,             0.78413,             0.25122,             0.20429,            0.089889,            0.049545,            0.018122,            0.030624,           0.0099703,           0.0099703,           0.0099703
                   4,            0.045722,            0.020978,            0.032152,             0.55245,              0.4843,             0.34448,             0.17814,            0.040607,            0.013351,            0.028172,           0.0099703,           0.0099703,           0.0099703
                   5,            0.041199,            0.019074,            0.028985,             0.62545,             0.56803,               0.521,             0.34202,            0.025982,            0.010584,            0.023412,           0.0099604,           0.0099604,           0.0099604
                   6,            0.037075,            0.018666,            0.025996,             0.62365,             0.60651,             0.56753,             0.38187,            0.027433,            0.010632,            0.021629,           0.0099505,           0.0099505,           0.0099505
                   7,            0.034981,            0.017581,            0.023257,             0.69162,             0.59337,             0.67649,             0.43109,            0.031683,            0.010599,            0.016561,           0.0099406,           0.0099406,           0.0099406
                   8,            0.034407,            0.017145,            0.020899,             0.82531,             0.64037,             0.74193,               0.523,            0.025187,            0.010429,            0.015791,           0.0099307,           0.0099307,           0.0099307
                   9,            0.032551,             0.01704,            0.018707,              0.8752,             0.64878,             0.76654,             0.53186,             0.02642,            0.010091,            0.014779,           0.0099208,           0.0099208,           0.0099208
                  10,            0.031942,            0.016988,            0.016407,             0.84219,             0.65083,             0.78172,             0.54575,            0.022907,           0.0096202,            0.014386,           0.0099109,           0.0099109,           0.0099109
                  11,             0.03057,            0.016382,            0.014755,              0.8829,             0.66954,             0.76671,             0.53126,            0.022011,           0.0096389,            0.011327,            0.009901,            0.009901,            0.009901
                  12,            0.029178,             0.01641,            0.014061,              0.7287,             0.71747,             0.77573,             0.53432,            0.022206,           0.0096143,            0.015463,           0.0098911,           0.0098911,           0.0098911
                  13,            0.028881,            0.015965,            0.013952,             0.87976,             0.66094,             0.76959,             0.53474,            0.024377,           0.0099882,             0.01328,           0.0098812,           0.0098812,           0.0098812
                  14,            0.028399,              0.0156,            0.012866,             0.89504,             0.78358,             0.84077,             0.58232,            0.018603,           0.0092688,            0.010987,           0.0098713,           0.0098713,           0.0098713
                  15,            0.027432,            0.015854,            0.012625,             0.88588,             0.76398,             0.85745,             0.61827,            0.020453,           0.0092471,            0.010754,           0.0098614,           0.0098614,           0.0098614
                  16,            0.027041,            0.015763,            0.012373,             0.85673,             0.83014,             0.86746,             0.64831,            0.022742,           0.0091102,             0.01219,           0.0098515,           0.0098515,           0.0098515
                  17,            0.026788,            0.016213,            0.012248,             0.79867,              0.8128,             0.87391,             0.68855,              0.0178,           0.0085686,            0.010083,           0.0098416,           0.0098416,           0.0098416
                  18,             0.02643,            0.015302,            0.011088,             0.78874,             0.84473,             0.87261,             0.64584,             0.02079,           0.0091541,            0.013729,           0.0098317,           0.0098317,           0.0098317
                  19,            0.025886,            0.015316,           0.0099172,             0.84419,             0.86952,             0.86656,             0.67051,            0.020196,           0.0089247,           0.0095606,           0.0098218,           0.0098218,           0.0098218
                  20,             0.02548,            0.015083,            0.010502,             0.85685,             0.83621,             0.83908,             0.58947,            0.021654,           0.0096666,            0.010404,           0.0098119,           0.0098119,           0.0098119
